model,type,composition,similarity,compsim,layer,pearsoncor,spearman
roberta-base,Transformer,Icm,Avg,IcmAvg,8,0.0650833737330936,0.08000930398702621
roberta-base,Transformer,Icm,Avg,IcmAvg,9,0.07339335626716378,0.07755067199468613
roberta-base,Transformer,Icm,Avg,IcmAvg,10,0.09292130260408113,0.09693588316440582
roberta-base,Transformer,Icm,Avg,IcmAvg,11,0.10991408473382175,0.12091504782438278
roberta-base,Transformer,Icm,Avg,IcmAvg,12,0.11926973615313273,0.12202072888612747
roberta-base,Transformer,Icm,Sum,IcmSum,0,0.13087272606368988,0.08269274979829788
roberta-base,Transformer,Icm,Sum,IcmSum,1,0.10635124199631117,0.05051577463746071
roberta-base,Transformer,Icm,Sum,IcmSum,2,0.10738429285196678,0.047384779900312424
roberta-base,Transformer,Icm,Sum,IcmSum,3,0.11337944132323158,0.051649704575538635
roberta-base,Transformer,Icm,Sum,IcmSum,4,0.11733716836791191,0.0539882630109787
roberta-base,Transformer,Icm,Sum,IcmSum,5,0.11862218203940374,0.05344921723008156
roberta-base,Transformer,Icm,Sum,IcmSum,6,0.11848074605893749,0.05335608869791031
roberta-base,Transformer,Icm,Sum,IcmSum,7,0.11614961597172933,0.0529005266726017
roberta-base,Transformer,Icm,Sum,IcmSum,8,0.11560144237817227,0.05220242962241173
roberta-base,Transformer,Icm,Sum,IcmSum,9,0.11659345202061529,0.05287468433380127
roberta-base,Transformer,Icm,Sum,IcmSum,10,0.12006521361790697,0.05456250533461571
roberta-base,Transformer,Icm,Sum,IcmSum,11,0.1196560070915363,0.05455687269568443
roberta-base,Transformer,Icm,Sum,IcmSum,12,0.11861460246999514,0.05346290022134781
roberta-base,Transformer,Icm,F_ind,IcmF_ind,0,0.16105936759353212,0.12896300852298737
roberta-base,Transformer,Icm,F_ind,IcmF_ind,1,0.10240684462121849,0.07220830768346786
roberta-base,Transformer,Icm,F_ind,IcmF_ind,2,0.0882128351462263,0.05634558945894241
roberta-base,Transformer,Icm,F_ind,IcmF_ind,3,0.09369097987703552,0.06038135662674904
roberta-base,Transformer,Icm,F_ind,IcmF_ind,4,0.09642686548694447,0.061717577278614044
roberta-base,Transformer,Icm,F_ind,IcmF_ind,5,0.09689451271542175,0.061698656529188156
roberta-base,Transformer,Icm,F_ind,IcmF_ind,6,0.09630470147750718,0.06066157668828964
roberta-base,Transformer,Icm,F_ind,IcmF_ind,7,0.09656653280914808,0.062296777963638306
roberta-base,Transformer,Icm,F_ind,IcmF_ind,8,0.09848163554431791,0.06365180015563965
roberta-base,Transformer,Icm,F_ind,IcmF_ind,9,0.10026810319162822,0.06511351466178894
roberta-base,Transformer,Icm,F_ind,IcmF_ind,10,0.09851221971440959,0.06253167986869812
roberta-base,Transformer,Icm,F_ind,IcmF_ind,11,0.0985630969110733,0.06286194175481796
roberta-base,Transformer,Icm,F_ind,IcmF_ind,12,0.09501050996634382,0.06063225120306015
roberta-base,Transformer,Icm,F_joint,IcmF_joint,0,0.31194377400366397,0.3012973666191101
roberta-base,Transformer,Icm,F_joint,IcmF_joint,1,0.20397170874219572,0.22220037877559662
roberta-base,Transformer,Icm,F_joint,IcmF_joint,2,0.24576459708035314,0.24493452906608582
roberta-base,Transformer,Icm,F_joint,IcmF_joint,3,0.22663853305569848,0.2351091355085373
roberta-base,Transformer,Icm,F_joint,IcmF_joint,4,0.1555584965782997,0.1529637724161148
roberta-base,Transformer,Icm,F_joint,IcmF_joint,5,0.1820950230529946,0.19336733222007751
roberta-base,Transformer,Icm,F_joint,IcmF_joint,6,0.21434159558151947,0.22259403765201569
roberta-base,Transformer,Icm,F_joint,IcmF_joint,7,0.24877291208615895,0.2784317135810852
roberta-base,Transformer,Icm,F_joint,IcmF_joint,8,0.3067017122191999,0.34318453073501587
roberta-base,Transformer,Icm,F_joint,IcmF_joint,9,0.27990069581011306,0.3396534323692322
roberta-base,Transformer,Icm,F_joint,IcmF_joint,10,0.1800315123657577,0.24539783596992493
roberta-base,Transformer,Icm,F_joint,IcmF_joint,11,0.15858559958181312,0.19228099286556244
roberta-base,Transformer,Icm,F_joint,IcmF_joint,12,0.09105882819677447,0.10428372025489807
